PlayerName,MatchPlayingOrder,BowlerName,OutDesc,ShortOutDesc,Runs,Balls,DotBalls,DotBallPercentage_Bat,DotBallFrequency_Bat,Fours_Bat,Sixes_Bat,BoundaryPercentage_Bat,BoundaryFrequency_Bat,StrikeRate_Bat,AgainstFast_Bat,AgainstSpin_Bat,PLAYER_ID,Overs,Runs_bat,Wickets,Economy_bowl,ScoringBalls,DotBalls_bowl,DBPercent _bowl,Fours_bowl,Sixes_bowl,BdryPercent_bowl,BdryFreq_bowl,FourPercent_bowl,SixPercent_bowl,MatchID,InningsNo,TeamID
Aiden Markram ,3,Sai Kishore,c Shahrukh Khan b Sai Kishore,c Shahrukh Khan b Sai Kishore,36,24,8,33.33,3.00,3,2,66.67,4.80,150.00,20,4,287,,,,,,,,,,,,,,1862,1,77
Mitchell Marsh  (RP),11,Mohd Arshad Khan,c Sherfane Rutherford b Mohd Arshad Khan,c Sherfane Rutherford b Mohd Arshad Khan,117,64,20,31.25,3.20,10,8,75.21,3.56,182.81,48,16,40,,,,,,,,,,,,,,1862,1,77
Nicholas Pooran ,2,,not out,not out,56,27,9,33.33,3.00,4,5,82.14,3.00,207.41,16,10,136,,,,,,,,,,,,,,1862,1,77
Rishabh Pant (c)(wk),1,,not out,not out,16,6,1,16.67,6.00,0,2,75.00,3.00,266.67,6,0,18,,,,,,,,,,,,,,1862,1,77
Akash Singh  (IP),4,,,,0,0,0,,,0,0,,,-,0,0,535,,,,,,,,,,,,,,1862,1,77
Ayush Badoni ,5,,,,0,0,0,,,0,0,,,-,0,0,985,,,,,,,,,,,,,,1862,1,77
Abdul Samad ,6,,,,0,0,0,,,0,0,,,-,0,0,525,,,,,,,,,,,,,,1862,1,77
Himmat Singh ,7,,,,0,0,0,,,0,0,,,-,0,0,203,,,,,,,,,,,,,,1862,1,77
Shahbaz Ahmed ,8,,,,0,0,0,,,0,0,,,-,0,0,523,,,,,,,,,,,,,,1862,1,77
Avesh Khan ,9,,,,0,0,0,,,0,0,,,-,0,0,109,,,,,,,,,,,,,,1862,1,77
Akash Deep ,10,,,,0,0,0,,,0,0,,,-,0,0,1007,,,,,,,,,,,,,,1862,1,77
William O Rourke ,11,,,,0,0,0,,,0,0,,,-,0,0,3398,,,,,,,,,,,,,,1862,1,77
Sai Sudharsan  (IP),11,William O Rourke,c Aiden Markram b William O Rourke,c Aiden Markram b William O Rourke,21,16,7,43.75,2.29,4,0,76.19,4.00,131.25,16,0,976,,,,,,,,,,,,,,1862,2,35
Shubman Gill (c),1,Avesh Khan,c Abdul Samad b Avesh Khan,c Abdul Samad b Avesh Khan,35,20,7,35.00,2.86,7,0,80.00,2.86,175.00,15,5,62,,,,,,,,,,,,,,1862,2,35
Jos Buttler (wk),2,Akash Singh,b Akash Singh,b Akash Singh,33,18,5,27.78,3.60,3,2,72.73,3.60,183.33,17,1,182,,,,,,,,,,,,,,1862,2,35
Sherfane Rutherford ,3,William O Rourke,c (Sub) Ravi Bishnoi b William O Rourke,c (Sub) Ravi Bishnoi b William O Rourke,38,22,5,22.73,4.40,1,3,57.89,5.50,172.73,14,8,122,,,,,,,,,,,,,,1862,2,35
Shahrukh Khan ,4,Avesh Khan,c (Sub) Ravi Bishnoi b Avesh Khan,c (Sub) Ravi Bishnoi b Avesh Khan,57,29,4,13.79,7.25,5,3,66.67,3.63,196.55,22,7,590,,,,,,,,,,,,,,1862,2,35
Rahul Tewatia ,5,William O Rourke,c Himmat Singh b William O Rourke,c Himmat Singh b William O Rourke,2,3,1,33.33,3.00,0,0,0.00,,66.67,3,0,120,,,,,,,,,,,,,,1862,2,35
Mohd Arshad Khan ,7,Shahbaz Ahmed,c William O Rourke b Shahbaz Ahmed,c William O Rourke b Shahbaz Ahmed,1,3,2,66.67,1.50,0,0,0.00,,33.33,0,3,988,,,,,,,,,,,,,,1862,2,35
Rashid Khan ,6,,not out,not out,4,4,0,0.00,,0,0,0.00,,100.00,2,2,218,,,,,,,,,,,,,,1862,2,35
Kagiso Rabada ,8,Ayush Badoni,b Ayush Badoni,b Ayush Badoni,2,3,1,33.33,3.00,0,0,0.00,,66.67,1,2,116,,,,,,,,,,,,,,1862,2,35
Sai Kishore ,9,Ayush Badoni,b Ayush Badoni,b Ayush Badoni,1,2,1,50.00,2.00,0,0,0.00,,50.00,0,2,544,,,,,,,,,,,,,,1862,2,35
Mohammed Siraj ,10,,,,0,0,0,,,0,0,,,-,0,0,63,,,,,,,,,,,,,,1862,2,35
Prasidh Krishna  (RP),11,,,,0,0,0,,,0,0,,,-,0,0,150,,,,,,,,,,,,,,1862,2,35
